Date,Symbol,ROC130,ADRP20
20170407,PLSE,219.24,13.65
20170407,SBLK,179.96,7.03
20170407,ESPR,158.63,9.17
20170407,CC,135.88,3.8
20170407,AUPH,134.22,9.41
20170407,CARA,117.96,6.66
20170407,TELL,114.57,10.09
20170407,UCTT,110.93,4
20170407,AAOI,101.17,6.97
20170407,AQMS,98.98,6.77
20170407,LNW,97.87,3.66
20170407,KRO,97.1,3.83
20170407,AMD,95.66,3.68
20170407,MTUS,87.94,5.18
20170407,TROX,85.06,4.2
20170407,CENX,84.6,4.89
20170407,WIX,75.57,3.99
20170407,VALE,67.82,4.6
20170407,BCRX,64.63,5.35
20170407,CORT,63.85,4.85
20170407,EXEL,60.05,3.84
20170407,SAGE,59.48,4.6
20170407,WTW,55.43,3.65
20170407,WW,55.43,3.65
20170407,MOMO,55.24,5.3
20170407,EDIT,55.04,6.8
20170407,BPMC,50.71,4.49
20170407,TPC,50.21,3.62
20170407,OMER,47.67,7.33
20170407,ARCO,46.98,4.68
20170407,HEES,44.99,3.7
20170407,GTN,39,3.78
20170407,YPF,38.69,4
20170407,CLF,38.63,5.5
20170407,TGTX,36.3,7.98
20170407,RH,35.86,4.21
20170407,TDOC,35.72,3.53
20170407,PCRX,34.86,3.63
20170407,ODP,33.89,4.06
20170407,NVCR,32.9,7.29
