Index,Symbol,Action Type,Order Type,Total Qty.,Qty. Filled,Qty. Remaining,Price,Stop Price,Limit Price,Created Date/Time (E),Update Date/Time (E)
0,STTK,Buy,Market,635,635,0,7.86,0,0,1/2/2024 12:39,1/2/2024 12:40
3,IOVA,Buy,Market,596,596,0,8.38,0,0,1/5/2024 13:37,1/5/2024 13:38
6,TREE,Buy,Market,155,155,0,32,0,0,1/8/2024 9:33,1/8/2024 9:34
7,TREE,Sell,Stop,155,155,0,30.4,30.4,0,1/8/2024 9:34,1/11/2024 11:30
9,ARDX,Buy,Market,733,733,0,6.85,0,0,1/8/2024 9:35,1/8/2024 9:36
11,ARDX,Sell,Limit,366,366,0,7.63,0,7.63,1/8/2024 9:36,1/8/2024 11:15
12,NKTX,Buy,Market,794,794,0,6.33,0,0,1/8/2024 9:40,1/8/2024 9:41
14,NKTX,Sell,Limit,397,397,0,9.07,0,9.07,1/8/2024 9:41,1/8/2024 10:38
15,CABA,Buy,Market,222,222,0,23.07,0,0,1/8/2024 10:18,1/8/2024 10:19
16,CABA,Sell,Stop,222,222,0,21.93,21.93,0,1/8/2024 10:19,1/10/2024 13:02
18,CCCC,Buy,Market,764,764,0,6.87,0,0,1/8/2024 13:15,1/8/2024 13:16
21,CLDX,Buy,Market,130,130,0,40.5,0,0,1/8/2024 14:39,1/8/2024 14:44
22,CLDX,Sell,Stop,130,130,0,38.99,38.99,0,1/8/2024 14:44,1/10/2024 10:55
24,MARA,Buy,Market,196,196,0,26.87,0,0,1/10/2024 12:51,1/10/2024 12:52
25,MARA,Sell,Stop,196,196,0,23.29,23.29,0,1/10/2024 12:52,1/11/2024 10:50
27,ZIMV,Buy,Market,291,291,0,18.09,0,0,1/10/2024 13:04,1/10/2024 13:05
28,ZIMV,Sell,Stop,291,291,0,17.19,17.19,0,1/10/2024 13:05,1/12/2024 12:01
30,CRSP,Buy,Market,82,82,0,63.75,0,0,1/11/2024 9:54,1/11/2024 9:55
31,CRSP,Sell,Stop,82,82,0,60.57,60.57,0,1/11/2024 9:55,1/17/2024 13:20
33,KURA,Buy,Market,334,334,0,15.57,0,0,1/11/2024 14:36,1/11/2024 14:37
34,KURA,Sell,Stop,334,334,0,14.94,14.94,0,1/11/2024 14:37,1/16/2024 9:31
36,TWST,Buy,Market,139,139,0,37.57,0,0,1/12/2024 9:47,1/12/2024 9:48
37,TWST,Sell,Stop,139,139,0,35.29,35.29,0,1/12/2024 9:48,1/16/2024 9:31
39,IOVA,Sell,Market,596,596,0,8.07,0,0,1/17/2024 9:31,1/17/2024 9:32
40,STTK,Sell,Market,635,635,0,8.35,0,0,1/17/2024 9:31,1/17/2024 9:32
41,CCCC,Sell,Market,764,764,0,6.55,0,0,1/18/2024 9:31,1/18/2024 9:32
42,ARDX,Sell,Market,367,367,0,8.06,0,0,1/19/2024 9:31,1/19/2024 9:32
43,NKTX,Sell,Market,397,397,0,8.34,0,0,1/19/2024 9:31,1/19/2024 9:32
44,MRUS,Buy,Market,149,149,0,33.43,0,0,1/19/2024 10:28,1/19/2024 10:29
46,MRUS,Sell,Limit,74,74,0,39.57,0,39.57,1/19/2024 10:29,2/8/2024 12:02
47,VKTX,Buy,Market,226,226,0,22.11,0,0,1/19/2024 10:52,1/19/2024 10:53
50,ACLX,Buy,Market,87,87,0,57.32,0,0,1/22/2024 9:34,1/22/2024 9:35
51,IOT,Buy,Market,147,147,0,33.93,0,0,1/22/2024 9:34,1/22/2024 9:35
56,ARCT,Buy,Market,148,148,0,33.4,0,0,1/22/2024 9:35,1/22/2024 9:36
54,IOT,Sell,Stop,147,147,0,32.52,32.52,0,1/22/2024 9:35,1/23/2024 10:25
53,ACLX,Sell,Limit,44,44,0,64.31,0,64.31,1/22/2024 9:35,1/29/2024 10:01
59,KYMR,Buy,Market,174,174,0,28.88,0,0,1/22/2024 9:53,1/22/2024 9:54
61,KYMR,Sell,Limit,87,87,0,35.3,0,35.29,1/22/2024 9:54,2/9/2024 11:54
62,EYPT,Buy,Market,213,213,0,23.46,0,0,1/22/2024 11:00,1/22/2024 11:01
64,EYPT,Sell,Limit,106,106,0,28.92,0,28.92,1/22/2024 11:01,2/1/2024 14:15
65,ZJYL,Buy,Market,743,743,0,6.83,0,0,1/23/2024 12:33,1/23/2024 12:36
67,ZJYL,Sell,Limit,372,372,0,11.9,0,11.9,1/23/2024 12:36,1/23/2024 14:25
68,OSCR,Buy,Market,438,438,0,11.82,0,0,1/24/2024 9:34,1/24/2024 9:35
70,OSCR,Sell,Limit,219,219,0,17.43,0,14.53,1/24/2024 9:35,2/8/2024 9:31
71,TNGX,Buy,Market,439,439,0,11.81,0,0,1/24/2024 9:39,1/24/2024 9:40
74,RYTM,Buy,Market,118,118,0,43.65,0,0,1/24/2024 12:52,1/24/2024 12:53
76,RYTM,Sell,Limit,59,59,0,50.75,0,50.75,1/24/2024 12:53,2/9/2024 10:28
77,VKTX,Sell,Market,226,226,0,21.7,0,0,1/25/2024 9:31,1/25/2024 9:32
78,ARCT,Sell,Market,148,148,0,32.9,0,0,1/25/2024 9:31,1/25/2024 9:32
79,ARDX,Buy,Market,581,581,0,9.1,0,0,1/26/2024 9:36,1/26/2024 9:37
82,EOLS,Buy,Market,402,402,0,12.88,0,0,1/29/2024 9:33,1/29/2024 9:34
85,PRCT,Buy,Market,110,110,0,47.38,0,0,1/29/2024 10:13,1/29/2024 10:14
88,GTLB,Buy,Market,73,73,0,71.66,0,0,1/29/2024 10:30,1/29/2024 10:31
91,PTGX,Buy,Market,204,204,0,25.64,0,0,1/29/2024 10:32,1/29/2024 10:33
93,PTGX,Sell,Limit,102,102,0,29.25,0,29.25,1/29/2024 10:33,2/1/2024 14:14
94,ARVN,Buy,Market,130,130,0,40.31,0,0,1/31/2024 9:36,1/31/2024 9:37
96,ARVN,Sell,Limit,65,65,0,46.44,0,46.44,1/31/2024 9:37,2/1/2024 13:29
97,AMCX,Buy,Market,281,281,0,19.01,0,0,1/31/2024 12:55,1/31/2024 12:58
98,AMCX,Sell,Stop,281,281,0,18.19,18.19,0,1/31/2024 12:58,1/31/2024 15:45
100,ARDX,Sell,Market,581,581,0,8.82,0,0,2/1/2024 9:31,2/1/2024 9:32
101,PRCT,Sell,Market,110,110,0,46.82,0,0,2/1/2024 9:31,2/1/2024 9:34
102,RXST,Buy,Market,110,110,0,48.1,0,0,2/1/2024 10:35,2/1/2024 10:36
