Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
0,STTK,Long,7.86,1/2/2024 12:40,1/17/2024 9:32,Closed,0,8.35,635,0,0,0,635,0.49,6.23,49,311.15,311.15,6.23,2.8,-0.88
1,IOVA,Long,8.38,1/5/2024 13:38,1/17/2024 9:32,Closed,0,8.07,596,0,0,0,596,-0.31,-3.7,-31,-184.76,-184.76,-3.7,1.93,-0.32
2,TREE,Long,32,1/8/2024 9:34,1/11/2024 11:30,Closed,0,30.4,155,0,0,0,155,-1.6,-5,-160,-248,-248,-5,3.97,-1.6
3,ARDX,Long,6.85,1/8/2024 9:36,1/19/2024 9:32,Closed,0,7.85,733,0,0,0,733,1.21,17.66,121,729.55,729.55,14.53,2.53,-0.13
4,NKTX,Long,6.33,1/8/2024 9:41,1/19/2024 9:32,Closed,0,8.7,794,0,0,0,794,2.01,31.75,201,1885.75,1885.75,37.52,5.29,-0.04
5,CABA,Long,23.07,1/8/2024 10:19,1/10/2024 13:02,Closed,0,21.93,222,0,0,0,222,-1.14,-4.94,-114,-253.08,-253.08,-4.94,1.55,-1.14
6,CCCC,Long,6.87,1/8/2024 13:16,1/18/2024 9:32,Closed,0,6.55,764,0,0,0,764,-0.32,-4.66,-32,-244.48,-244.48,-4.66,1.55,-0.53
7,CLDX,Long,40.5,1/8/2024 14:44,1/10/2024 10:55,Closed,0,38.99,130,0,0,0,130,-1.51,-3.73,-151,-196.3,-196.3,-3.73,1.14,-1.51
8,MARA,Long,26.87,1/10/2024 12:52,1/11/2024 10:50,Closed,0,23.29,196,0,0,0,196,-3.58,-13.32,-358,-701.68,-701.68,-13.32,2.31,-3.58
9,ZIMV,Long,18.09,1/10/2024 13:05,1/12/2024 12:01,Closed,0,17.19,291,0,0,0,291,-0.9,-4.98,-90,-261.9,-261.9,-4.98,0.23,-0.9
10,CRSP,Long,63.75,1/11/2024 9:55,1/17/2024 13:20,Closed,0,60.57,82,0,0,0,82,-3.18,-4.99,-318,-260.76,-260.76,-4.99,3.33,-3.18
11,KURA,Long,15.57,1/11/2024 14:37,1/16/2024 9:31,Closed,0,14.94,334,0,0,0,334,-0.63,-4.05,-63,-210.42,-210.42,-4.05,0.39,-0.63
12,TWST,Long,37.57,1/12/2024 9:48,1/16/2024 9:31,Closed,0,35.29,139,0,0,0,139,-2.28,-6.07,-228,-316.92,-316.92,-6.07,0.16,-2.28
13,MRUS,Long,33.43,1/19/2024 10:29,3/7/2024 9:33,Closed,0,43.99,149,0,0,0,149,14.92,44.63,1492,1573.36,1573.36,31.59,18.61,-0.03
14,VKTX,Long,22.11,1/19/2024 10:53,1/25/2024 9:32,Closed,0,21.7,226,0,0,0,226,-0.41,-1.85,-41,-92.66,-92.66,-1.85,1.65,-1.28
15,ACLX,Long,57.32,1/22/2024 9:35,2/9/2024 9:35,Closed,0,63.12,87,0,0,0,87,4.58,7.99,458,504.5,504.5,10.12,10.2,-2.32
16,IOT,Long,33.93,1/22/2024 9:35,1/23/2024 10:25,Closed,0,32.52,147,0,0,0,147,-1.41,-4.16,-141,-207.27,-207.27,-4.16,1.25,-1.41
17,ARCT,Long,33.4,1/22/2024 9:36,1/25/2024 9:32,Closed,0,32.9,148,0,0,0,148,-0.5,-1.5,-50,-74,-74,-1.5,1.58,-1.35
18,KYMR,Long,28.88,1/22/2024 9:54,3/6/2024 9:38,Closed,0,38.96,174,0,0,0,174,13.74,47.58,1374,1753.92,1753.92,34.9,16.43,-0.75
19,EYPT,Long,23.46,1/22/2024 11:01,2/15/2024 9:32,Closed,0,29.11,213,0,0,0,213,5.84,24.89,584,1203.64,1203.64,24.09,7.53,-0.84
20,ZJYL,Long,6.83,1/23/2024 12:36,2/8/2024 9:32,Closed,0,13,743,0,0,0,743,7.27,106.44,727,4583.21,4583.21,90.32,8.57,-0.08
21,OSCR,Long,11.82,1/24/2024 9:35,2/23/2024 9:32,Closed,0,16.68,438,0,0,0,438,4.12,34.86,412,2130.87,2130.87,41.16,6.73,-0.32
22,TNGX,Long,11.81,1/24/2024 9:40,2/9/2024 9:36,Closed,0,11.89,439,0,0,0,439,0.08,0.68,8,35.12,35.12,0.68,1.19,-0.57
23,RYTM,Long,43.65,1/24/2024 12:53,2/21/2024 9:32,Closed,0,49.66,118,0,0,0,118,4.93,11.29,493,709.77,709.77,13.78,8.92,-0.45
