Index,Symbol,Action Type,Order Type,Total Qty.,Qty. Filled,Qty. Remaining,Price,Strategy #,Stop Price,Limit Price,Created Date/Time (E),Update Date/Time (E)
0,STTK,Buy,Market,635,635,0,7.86,0,0,0,1/2/2024 12:39,1/2/2024 12:40
1,STTK,Sell,Stop,635,635,0,6.99,0,6.99,0,1/2/2024 12:40,1/3/2024 12:33
3,IOVA,Buy,Market,592,592,0,8.38,0,0,0,1/5/2024 13:37,1/5/2024 13:38
6,TREE,Buy,Market,153,153,0,32,0,0,0,1/8/2024 9:33,1/8/2024 9:34
7,TREE,Sell,Stop,153,153,0,29.87,0,29.88,0,1/8/2024 9:34,1/11/2024 11:41
9,ARDX,Buy,Market,727,727,0,6.85,0,0,0,1/8/2024 9:35,1/8/2024 9:36
11,ARDX,Sell,Limit,364,364,0,7.63,0,0,7.63,1/8/2024 9:36,1/8/2024 11:15
12,NKTX,Buy,Market,786,786,0,6.33,0,0,0,1/8/2024 9:40,1/8/2024 9:41
14,NKTX,Sell,Limit,393,393,0,9.07,0,0,9.07,1/8/2024 9:41,1/8/2024 10:38
15,CABA,Buy,Market,219,219,0,23.07,0,0,0,1/8/2024 10:18,1/8/2024 10:19
16,CABA,Sell,Stop,219,219,0,22.29,0,22.29,0,1/8/2024 10:19,1/10/2024 12:30
18,CCCC,Buy,Market,752,752,0,6.87,0,0,0,1/8/2024 13:15,1/8/2024 13:16
21,CLDX,Buy,Market,128,128,0,40.5,0,0,0,1/8/2024 14:39,1/8/2024 14:44
22,CLDX,Sell,Stop,128,128,0,38.6,0,38.6,0,1/8/2024 14:44,1/10/2024 12:48
24,MARA,Buy,Market,193,193,0,26.87,0,0,0,1/10/2024 12:51,1/10/2024 12:52
25,MARA,Sell,Stop,193,193,0,23.78,0,23.78,0,1/10/2024 12:52,1/11/2024 10:49
27,ZIMV,Buy,Market,287,287,0,18.09,0,0,0,1/10/2024 13:04,1/10/2024 13:05
28,ZIMV,Sell,Stop,287,287,0,17.11,0,17.11,0,1/10/2024 13:05,1/12/2024 12:03
