Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
0,STTK,Long,7.86,1/2/2024 12:40,1/3/2024 12:33,Closed,0,6.99,635,0,0,0,635,-0.87,-11.07,-87,-552.45,-552.45,-11.07,0.09,-0.87
1,IOVA,Long,8.38,1/5/2024 13:38,1/17/2024 9:32,Closed,0,8.07,592,0,0,0,592,-0.31,-3.7,-31,-183.52,-183.52,-3.7,1.93,-0.32
2,TREE,Long,32,1/8/2024 9:34,1/11/2024 11:41,Closed,0,29.87,153,0,0,0,153,-2.13,-6.66,-213,-325.89,-325.89,-6.66,3.97,-2.13
3,ARDX,Long,6.85,1/8/2024 9:36,1/19/2024 9:32,Closed,0,7.84,727,0,0,0,727,1.21,17.66,121,723.15,723.15,14.52,2.53,-0.13
4,NKTX,Long,6.33,1/8/2024 9:41,1/19/2024 9:32,Closed,0,8.7,786,0,0,0,786,2.01,31.75,201,1866.75,1866.75,37.52,5.29,-0.04
5,CABA,Long,23.07,1/8/2024 10:19,1/10/2024 12:30,Closed,0,22.29,219,0,0,0,219,-0.78,-3.38,-78,-170.82,-170.82,-3.38,1.55,-0.78
6,CCCC,Long,6.87,1/8/2024 13:16,1/18/2024 9:32,Closed,0,6.55,752,0,0,0,752,-0.32,-4.66,-32,-240.64,-240.64,-4.66,1.55,-0.53
7,CLDX,Long,40.5,1/8/2024 14:44,1/10/2024 12:48,Closed,0,38.6,128,0,0,0,128,-1.9,-4.69,-190,-243.2,-243.2,-4.69,1.14,-1.9
8,MARA,Long,26.87,1/10/2024 12:52,1/11/2024 10:49,Closed,0,23.78,193,0,0,0,193,-3.09,-11.5,-309,-596.37,-596.37,-11.5,2.31,-3.09
9,ZIMV,Long,18.09,1/10/2024 13:05,1/12/2024 12:03,Closed,0,17.11,287,0,0,0,287,-0.98,-5.42,-98,-281.26,-281.26,-5.42,0.23,-0.98
10,CRSP,Long,63.75,1/11/2024 9:55,1/17/2024 9:31,Closed,0,61.96,81,0,0,0,81,-1.79,-2.81,-179,-144.99,-144.99,-2.81,3.33,-1.79
11,KURA,Long,15.57,1/11/2024 14:37,1/17/2024 9:31,Closed,0,14.78,328,0,0,0,328,-0.79,-5.07,-79,-259.12,-259.12,-5.07,0.39,-0.79
12,TWST,Long,37.57,1/12/2024 9:48,1/12/2024 14:44,Closed,0,36.03,136,0,0,0,136,-1.54,-4.1,-154,-209.44,-209.44,-4.1,0.16,-1.54
13,MRUS,Long,33.43,1/19/2024 10:29,3/7/2024 9:33,Closed,0,43.96,148,0,0,0,148,14.92,44.63,1492,1558.44,1558.44,31.5,18.61,-0.03
14,VKTX,Long,22.11,1/19/2024 10:53,1/25/2024 9:32,Closed,0,21.7,224,0,0,0,224,-0.41,-1.85,-41,-91.84,-91.84,-1.85,1.65,-1.28
15,ACLX,Long,57.32,1/22/2024 9:35,1/23/2024 10:32,Closed,0,55.78,87,0,0,0,87,-1.54,-2.69,-154,-133.98,-133.98,-2.69,0.89,-1.54
16,IOT,Long,33.93,1/22/2024 9:35,1/22/2024 13:04,Closed,0,33.14,146,0,0,0,146,-0.79,-2.33,-79,-115.34,-115.34,-2.33,1.25,-0.79
17,ARCT,Long,33.4,1/22/2024 9:36,1/24/2024 13:04,Closed,0,33,147,0,0,0,147,-0.4,-1.2,-40,-58.8,-58.8,-1.2,1.58,-0.4
18,KYMR,Long,28.88,1/22/2024 9:54,3/6/2024 9:38,Closed,0,38.96,172,0,0,0,172,13.74,47.58,1374,1733.76,1733.76,34.9,16.43,-0.75
19,EYPT,Long,23.46,1/22/2024 11:01,2/15/2024 9:32,Closed,0,29.11,211,0,0,0,211,5.84,24.89,584,1191.96,1191.96,24.08,7.53,-0.84
20,ZJYL,Long,6.83,1/23/2024 12:36,2/8/2024 9:32,Closed,0,13,739,0,0,0,739,7.27,106.44,727,4558.53,4558.53,90.31,8.57,-0.08
21,OSCR,Long,11.82,1/24/2024 9:35,2/23/2024 9:32,Closed,0,16.69,435,0,0,0,435,4.12,34.86,412,2117.02,2117.02,41.17,6.73,-0.32
22,TNGX,Long,11.81,1/24/2024 9:40,1/29/2024 9:33,Closed,0,11.39,436,0,0,0,436,-0.42,-3.56,-42,-183.12,-183.12,-3.56,1.19,-0.42
23,RYTM,Long,43.65,1/24/2024 12:53,2/21/2024 9:32,Closed,0,49.66,117,0,0,0,117,4.93,11.29,493,702.67,702.67,13.76,8.92,-0.45
24,ARDX,Long,9.1,1/26/2024 9:37,1/31/2024 9:31,Closed,0,8.82,576,0,0,0,576,-0.28,-3.08,-28,-161.28,-161.28,-3.08,0.35,-0.28
25,EOLS,Long,12.88,1/29/2024 9:34,2/21/2024 9:32,Closed,0,13.16,397,0,0,0,397,0.28,2.17,28,111.16,111.16,2.17,1.22,-0.28
26,PRCT,Long,47.38,1/29/2024 10:14,2/1/2024 9:34,Closed,0,46.82,108,0,0,0,108,-0.56,-1.18,-56,-60.48,-60.48,-1.18,1.4,-1.22
27,GTLB,Long,71.66,1/29/2024 10:31,2/2/2024 9:36,Closed,0,69.74,72,0,0,0,72,-1.92,-2.68,-192,-138.24,-138.24,-2.68,3.5,-1.92
28,PTGX,Long,25.64,1/29/2024 10:33,2/7/2024 9:32,Closed,0,27.46,201,0,0,0,201,0.04,0.16,4,365.04,365.04,7.08,4.01,-0.73
29,ARVN,Long,40.31,1/31/2024 9:37,2/22/2024 9:32,Closed,0,47.48,128,0,0,0,128,8.21,20.37,821,917.76,917.76,17.79,12.77,-0.14
30,AMCX,Long,19.01,1/31/2024 12:58,1/31/2024 15:44,Closed,0,18.25,276,0,0,0,276,-0.76,-4,-76,-209.76,-209.76,-4,0.26,-0.76
31,RXST,Long,48.1,2/1/2024 10:36,2/2/2024 11:37,Closed,0,46.32,108,0,0,0,108,-1.78,-3.7,-178,-192.24,-192.24,-3.7,2.1,-1.78
32,NKTX,Long,9.7,2/1/2024 11:13,2/6/2024 9:31,Closed,0,9.05,540,0,0,0,540,-0.65,-6.7,-65,-351,-351,-6.7,1.42,-0.65
33,NTRA,Long,67.22,2/1/2024 11:38,2/2/2024 9:41,Closed,0,66,78,0,0,0,78,-1.22,-1.81,-122,-95.16,-95.16,-1.81,1.39,-1.22
34,TNGX,Long,12.53,2/2/2024 10:48,2/5/2024 9:48,Closed,0,12.14,422,0,0,0,422,-0.39,-3.11,-39,-164.58,-164.58,-3.11,0.46,-0.39
35,FSLY,Long,21.48,2/2/2024 11:40,2/15/2024 9:31,Closed,0,21.24,245,0,0,0,245,-3.41,-15.88,-341,-58.31,-58.31,-1.11,4.39,-3.41
36,ACLX,Long,64.86,2/5/2024 13:31,2/8/2024 10:24,Closed,0,62.3,81,0,0,0,81,-2.56,-3.95,-256,-207.36,-207.36,-3.95,2.66,-2.56
37,SANA,Long,6,2/5/2024 15:41,3/8/2024 9:32,Closed,0,8.61,884,0,0,0,884,3.87,64.5,387,2307.24,2307.24,43.5,6,-0.16
