Date,Count,Symbol,ADRP20,ROC20_Rank,ROC20_Value,ROC65_Rank,ROC65_Value,ROC130_Rank,ROC130_Value
20091016,1,CBAT,9.51,1,44.55,,,34,173.75
20091016,2,TGNA,5.65,2,32.36,7,184.1,13,297.08
20091016,3,DBI,5,3,31.8,24,85.96,76,97.1
20091016,4,BC,6.48,4,30.57,6,185.68,23,232.55
20091016,5,RAIL,4.4,5,30.28,,,,
20091016,6,AXL,5.96,,,1,334.75,14,295.48
20091016,7,AIG,8.13,,,2,238.82,,
20091016,8,SANM,5.13,,,3,227.41,20,242.64
20091016,9,RDN,8.47,,,4,214.16,17,249.75
20091016,10,DAN,7.05,,,5,213.95,3,824.66
20091016,11,BZH,8.51,,,8,167.62,10,349.6
20091016,12,HIG,5.37,,,9,127.99,35,172.32
20091016,13,BCRX,6.5,,,10,122.99,6,437.71
20091016,14,MTW,5.02,,,11,111.38,44,151.56
20091016,15,BKD,4.66,,,12,109.19,28,200.61
20091016,16,BPOP,6.3,,,13,104.58,,
20091016,17,SLG,5.76,,,14,101.03,19,245.71
20091016,18,LPX,5.52,,,15,97.42,47,143.46
20091016,19,SITC,6.27,,,16,96.65,26,212.29
20091016,20,TXT,3.84,,,17,96.26,,
20091016,21,MED,5.62,,,18,94.31,9,378
20091016,22,PARA,4.45,,,19,93.92,42,152.86
20091016,23,CDE,5.65,,,20,93.57,71,104.17
20091016,24,LVS,6.77,,,21,93.23,25,227.18
20091016,25,TOVX,8.58,,,22,92.28,,
20091016,26,SKX,4.1,,,23,87.95,33,185.21
20091016,27,CAR,5.68,,,25,82.76,2,1127.37
20091016,28,VECO,4.7,,,26,81.33,21,241.41
20091016,29,TEX,4.94,,,27,81.25,82,93.55
20091016,30,JBL,3.71,,,28,80.24,52,126.34
20091016,31,MGM,6.39,,,29,79.36,,
20091016,32,WSM,3.53,,,30,78.95,92,85.59
20091016,33,THC,4.51,,,31,78.92,12,336.76
20091016,34,AMR,5.02,,,32,78.14,99,81.52
20091016,35,ZUMZ,4.56,,,33,77.05,,
